ID,Date,Media,Title,Article,Summary
0,3 months ago,Otago Daily Times,Dunedin rest home manager censured for 'sex robot' comments,"The two student nurses were removed from the rest home after one of them complained to their polytechnic about Sobrevilla's behaviour. File photo: Getty

""I’m not being creepy or a paedo,"" Michael Sobrevilla insisted to a student nurse he later asked to provide him with a picture of her face so he could use it as reference for a sex robot.

The rest home manager also told one of two students they were flirting with him, he wanted to wax her arms and that when he was older, he would like a prostitute to entertain him.

""Will you be my pimp?"" Sobrevilla asked one of those students after that conversation, to which she replied, ""No.""

Sobrevilla also told one of the students, who were stationed at the rest home for four weeks as part of their studies through Otago Polytechnic, he liked blondes and would like to take her home

After this last comment, one of Sobrevilla’s colleagues told him he sounded like a ""sleazy old man"". One of the students complained to the polytechnic and they were both removed from the placement.

The events of 2022 at the Dunedin rest home were then referred to the Health Practitioners Disciplinary Tribunal, which held a hearing earlier this year and today opted to censure Sobrevilla, fine him $5000 and forbid him from acting as a preceptor (teacher) for one year after finding him guilty of professional misconduct.

The tribunal refused to grant Sobrevilla ongoing name suppression but suppressed the name of his employer, as well as the names of the two students.

In the course of the investigation into Sobrevilla’s conduct, it was revealed five years earlier in 2017, he had told a caregiver at the rest home he wanted to see her in a bikini and that he wanted to leave his wife and have a blue-eyed baby with her.

Five years later when staff at the rest home confronted him about his inappropriate behaviour towards the two students, he responded by saying: ""[She’s] what I’ve always wanted, a blue-eyed daughter. Like, I’m not being weird, I’m just treating her like she’s my daughter.""

The Professional Conduct Committee (PCC) , which prosecuted Sobrevilla before the tribunal, said there was a power imbalance between him and the two students.

They said he was aware his behaviour was inappropriate and persisted with it anyway, despite being told by other staff members he was making them and the students uncomfortable.

The PCC said the power imbalance would have made it more difficult for the students to make a complaint and Sobrevilla’s conduct disrupted their training at a crucial time.

Sobrevilla’s lawyer, Jennifer Beck, said her client accepted the facts and that his behaviour amounted to professional misconduct.

Beck emphasised the emotional and financial price Sobrevilla had paid as a result of the charges. She said he had been dismissed from his role at the rest home and his marriage was under strain.

She said Sobrevilla now accepts his behaviour made the women feel uncomfortable, especially given it was ongoing across some 14 occasions.

In its written decision, the tribunal found each of Sobrevilla’s comments in isolation were inappropriate and warranted some form of intervention from management or his colleagues.

""The number of comments had the potential to intimidate staff, compromise patient care and deter student nurses from completing their training,"" the tribunal’s finding reads.

""Whereas breaches of professional boundaries usually refer to a blurring of personal and professional relationships with patients or clients, Mr Sobrevilla’s conduct concerns the way he treats women, in particular those who are junior to him in the workplace.""

The tribunal found Sobrevilla’s conduct was ""less serious"" than other similar cases like that of Jesse Wilson, who made comments to two female nursing students about rape, sex and tried to touch them. As such, it found suspending Sobrevilla was not necessary.

- Jeremy Wilkinson, Open Justice reporter","The two student nurses were removed from the rest home after one of them complained to their polytechnic about Sobrevilla's behaviour.
The Professional Conduct Committee (PCC) , which prosecuted Sobrevilla before the tribunal, said there was a power imbalance between him and the two students.
The PCC said the power imbalance would have made it more difficult for the students to make a complaint and Sobrevilla’s conduct disrupted their training at a crucial time.
She said he had been dismissed from his role at the rest home and his marriage was under strain.
The tribunal found Sobrevilla’s conduct was ""less serious"" than other similar cases like that of Jesse Wilson, who made comments to two female nursing students about rape, sex and tried to touch them."
1,5 months ago,GlobeNewswire,"Mocking, Biting Satire About Trump and an AI Sex Bot Publishes; Hilarity Ensues","Charleston, SC, April 09, 2024 (GLOBE NEWSWIRE) -- The world needs more humor at the expense of those in power. Renowned European comedienne and satirical writer Julia Verne has exactly what the world needs in the form of an R-rated illustrated “graphic” novel featuring liars, cheats, prenups, pedophiles, and yes… even a strap-on.

When emotionless sex robot Petra rivals “Donny Trump” at his own game of lies, deception, murder, and power, you know it’s going to be a laugh-out-loud read.

“Rediscover the funny in a world where a spoiled little sh*t becomes president and his emotionally dead robot lover is secretly in control,” the author asserted. “Power, kinky sex, deception, greed? That’s just the first page.”

Political junkies, satire aficionados, Baby Boomers, Gen Xers, Millennials, and humans who enjoy humor will get more than a kick out of this side-splitting political commentary that blurs the lines between fact, fiction, and funny. So strap in (or on), turn off the news, and turn yourself on to a sentient AI sex bot, a spoiled heir, and the lust they share that spells the downfall of humanity.

Trump’s Hot Bot is available for purchase online at Amazon.com and Barnes and Noble.com. For more information about the book, please visit its website:

Website: https://trumpshotbot.com/

About the Author:

Author Julia Verne is renowned for her incisive wit, insights into the latest scientific advances, and her ability to weave dark humor with biting political commentary. Her works have captivated readers worldwide, but this is the first time she set her formidable sights on America, and the results are mesmerizing. Read “Trump’s Hot Bot” and discover why Verne already is a staple of European comedic satire and literature, and why she’ll hit the best-seller lists in America.

Media Contact: Julia Verne, info@trumpshotbot.com

Available for interviews: Author, Julia Verne

Attachment","Charleston, SC, April 09, 2024 (GLOBE NEWSWIRE) -- The world needs more humor at the expense of those in power.
Renowned European comedienne and satirical writer Julia Verne has exactly what the world needs in the form of an R-rated illustrated “graphic” novel featuring liars, cheats, prenups, pedophiles, and yes… even a strap-on.
So strap in (or on), turn off the news, and turn yourself on to a sentient AI sex bot, a spoiled heir, and the lust they share that spells the downfall of humanity.
Read “Trump’s Hot Bot” and discover why Verne already is a staple of European comedic satire and literature, and why she’ll hit the best-seller lists in America.
Media Contact: Julia Verne, info@trumpshotbot.comAvailable for interviews: Author, Julia VerneAttachment"
2,6 months ago,New Scientist,Annie Bot review: A sharp take on a sex robot that becomes human,"In a smart, compassionate novel, Sierra Greer spins the tired trope of a robot challenging its fate into sci-fi gold

Annie Bot is hard-coded to please her owner/partner Niaz Maleknia

Annie Bot

Sierra Greer (The Borough Press (UK), available now; Mariner Books (US), on sale 19 March)

ANNIE BOT is the story of a robot who lives with her human owner, Doug, in a New York apartment. I opened the novel with low hopes, because the idea of a robot learning to be human, then chafing at its bonds, seemed a bit old hat. How wrong I was. Right from the first page, the book is coruscating, unexpected and subtle. I picked it up idly one evening and felt…","In a smart, compassionate novel, Sierra Greer spins the tired trope of a robot challenging its fate into sci-fi goldAnnie Bot is hard-coded to please her owner/partner Niaz MalekniaAnnie BotSierra Greer (The Borough Press (UK), available now; Mariner Books (US), on sale 19 March)ANNIE BOT is the story of a robot who lives with her human owner, Doug, in a New York apartment.
I opened the novel with low hopes, because the idea of a robot learning to be human, then chafing at its bonds, seemed a bit old hat.
How wrong I was.
Right from the first page, the book is coruscating, unexpected and subtle.
I picked it up idly one evening and felt…"
3,0 months ago,The US Sun,Inside world’s first cyber sex brothel where customers can pay £228 to romp with sexbots & VR brings kinky dolls to life,"DIRTY WEEKEND Inside world’s first cyber sex brothel where customers can pay £228 to romp with sexbots & VR brings kinky dolls to life

“YOU want to play?” purrs a blonde sexbot as her piercing blue eyes stare into the camera.

“What’s your desire? What’s your fantasy? Tell me your secrets.”

5 Customers can pay extra to romp with two AI dolls at Cybrothel in Berlin Credit: Cybrothel

5 It's believed to be the 'world's first' cyber sex brothel, located in Berlin Credit: SUPPLIED

It’s 10am on a Monday and I’m inside Cybrothel in Berlin - the 'world’s first’ immersive brothel where customers can pay £228 for an hour with a robotic sex doll called Kokeshi.

Here man and machine come together, as it were, through trailblazing technology.

“We are the future of sex,” says owner Philipp Fussenegger. “We wanted to create an adult playground and a new way of experiencing pleasure.""

As well as robotic sex dolls, Cybrothel also has regular sex dolls which ""come to life"" through virtual reality (VR).

“AI exists so we have to embrace it,"" says Philipp. ""Having sex this way isn’t something to be scared of. It can’t compete with conventional sex with humans, it’s just different.”

Sex tech entrepreneur and co-founder of Cybrothel, Matthias Smetana, adds: ""Surprisingly, VR porn is very popular among women and couples.

""I think women like to experience how it would feel to have a penis. A woman can put on a strap-on 'penis' and have 'sex' with the doll in front of them.

""When they put on the VR headset they will see the doll moving and talking to them. It's a bit like a sexy Siri.

""One time a woman asked the doll what it wanted and it said 'more people,' so they ended up having a threesome. Two people and one doll. The technology really is amazing.""

5 Cyber brothel founder Philipp Fussenegger has been dubbed 'the Willy Wonka of sex' Credit: SUPPLIED

Philipp - who has been described as the 'Willy Wonka of sex’ tells how his website is the ‘X-rated version of Booking.com’.

“All our sex dolls are silicone and life size,"" he continues.

""Our customers can choose their hair colour, her outfit, the type of role play or kink, and if they want the doll to talk or not. The dolls speak English and German.

“After you’ve booked you will get an email from us which will tell you where to go when you arrive at our brothel, and the doll will be waiting in the position you want.

""You will have no interaction with another human while you’re here. You can choose different packages, depending on what your kink is.""

Human-like

An hour with a robotic sex doll like Kokeshi - a petite blonde with blue eyes - costs £228 with ""a voice"" and £159 without sound.

""The brothel has both audio and visual devices that are connected to an external control room where an operator is able to hear and see you,"" Philipp explains.

""The audio and visual features create the effect we call ‘analogue AI’ to give the dolls a more elevated and playful character for real time interaction.""

When they put on the VR headset they will see the doll moving and talking to them. It's a bit like a sexy Siri Philipp Fussenegger, Cybrothel owner

Prices vary depending on the package you book, but to spend a whole night with a doll will set you back £285 upwards.

A ‘basic’ option with a doll of your choice for an hour will cost £75 and one hour of VR (virtual reality porn) will cost just under £85. A robotic doll - like Kokeshi - is the most expensive.

“We offer unbeatable prices,” Philipp says. “Our pricing depends on factors such as technology, lifespan, number of sessions and wear and tear and there are ways people can pay anonymously if that is important to them.”

Philipp tells how Kokeshi is very popular with customers who like the ‘human-like’ interaction - but it broke down after 10 sessions.

5 Sexbot Kokeshi is very popular with customers as she can moan, grind and 'breathe' Credit: SUPPLIED

“She could move her hips, moan, 'breathe' and even had a pulsating vagina,” he recalls. “But because it’s new technology we had some issues with her.

“It’s an exciting market and in a few years the dolls will become more sophisticated and have better technology.

“Look at how far mobile phones have come. They used to be large bricks but now you can do everything on them and fit them in your pocket.”

Philipp says there is ""a big misconception"" about the type of person who uses AI sex dolls.

“Most people can differentiate between sex with a robot and sex with a human,"" he explains.

You will have no interaction with another human while you’re here. You can choose different packages, depending on what your kink is Philipp Fussenegger, Cybrothel owner

“The majority of our customers are very aware that these are dolls and see them more as big sex toys.

""There’s a smaller group who are looking for a relationship with an object and there’s an even smaller group who are buying a sex doll to live at home with.

“Ninety-eight per cent of our customers are men and two per cent are women - and they mainly bring their partner and have a threesome with a doll.

""Surprisingly, our customers are young - the average age is 32/33 and they’re normal people just like you and I.

“They may not want to have sex with a real sex worker for various reasons. They want to be alone with a doll and not be judged for it.”

Off limits

5 An hour with a sexbot will set you back £285 and more if you want to stay overnight with it Credit: SUPPLIED

Philipp says customers are not allowed to be violent to the dolls or request underage sex or animal role play.

“While our dolls are not real, we look after them,” he explains. “If someone is violent towards them they will be banned.”

Last year a sex toy review site, Bedbible, published a study that claimed the sex robot industry is worth about £165million.

The average price, the company said, of a sexbot is £2,900. It also claimed 17.4 per cent of people say they have either had sex with a robot or currently own a sex robot.

For years psychologists have been examining whether virtual sex has a negative or positive impact on a person.

A recent study from the Kinsey Institute at Indiana University found people with anxiety and depression are more likely to explore digital sex tech and may even use it for psychological relief.

Phillip tells how Cybrothel will have more robotic sex dolls in the next couple of years.

“There is so much technology and it’s always evolving,” he says. “Using robots who are human-like could help eradicate sex trafficking and make the world a safer place.”

Matthias adds that they're doing 'monthly orgies' where up to 60 people can play with each other - and the dolls - while VR porn blasted onto a screen brings the dolls to life.

""It's amazing,"" he explains. ""It starts at 3pm and finishes at midnight.

""People can leave their worries at the door and explore themselves sexually without judgement.""","DIRTY WEEKEND Inside world’s first cyber sex brothel where customers can pay £228 to romp with sexbots & VR brings kinky dolls to life“YOU want to play?” purrs a blonde sexbot as her piercing blue eyes stare into the camera.
As well as robotic sex dolls, Cybrothel also has regular sex dolls which ""come to life"" through virtual reality (VR).
“All our sex dolls are silicone and life size,"" he continues.
Human-likeAn hour with a robotic sex doll like Kokeshi - a petite blonde with blue eyes - costs £228 with ""a voice"" and £159 without sound.
Phillip tells how Cybrothel will have more robotic sex dolls in the next couple of years."
4,0 months ago,The US Sun,Inside world’s first cyber sex brothel where customers can pay £228 to romp with sexbots & VR brings kinky dolls to life,"DIRTY WEEKEND Inside world’s first cyber sex brothel where customers can pay £228 to romp with sexbots & VR brings kinky dolls to life

“YOU want to play?” purrs a blonde sexbot as her piercing blue eyes stare into the camera.

“What’s your desire? What’s your fantasy? Tell me your secrets.”

5 Customers can pay extra to romp with two AI dolls at Cybrothel in Berlin Credit: Cybrothel

5 It's believed to be the 'world's first' cyber sex brothel, located in Berlin Credit: SUPPLIED

It’s 10am on a Monday and I’m inside Cybrothel in Berlin - the 'world’s first’ immersive brothel where customers can pay £228 for an hour with a robotic sex doll called Kokeshi.

Here man and machine come together, as it were, through trailblazing technology.

“We are the future of sex,” says owner Philipp Fussenegger. “We wanted to create an adult playground and a new way of experiencing pleasure.""

As well as robotic sex dolls, Cybrothel also has regular sex dolls which ""come to life"" through virtual reality (VR).

“AI exists so we have to embrace it,"" says Philipp. ""Having sex this way isn’t something to be scared of. It can’t compete with conventional sex with humans, it’s just different.”

Sex tech entrepreneur and co-founder of Cybrothel, Matthias Smetana, adds: ""Surprisingly, VR porn is very popular among women and couples.

""I think women like to experience how it would feel to have a penis. A woman can put on a strap-on 'penis' and have 'sex' with the doll in front of them.

""When they put on the VR headset they will see the doll moving and talking to them. It's a bit like a sexy Siri.

""One time a woman asked the doll what it wanted and it said 'more people,' so they ended up having a threesome. Two people and one doll. The technology really is amazing.""

5 Cyber brothel founder Philipp Fussenegger has been dubbed 'the Willy Wonka of sex' Credit: SUPPLIED

Philipp - who has been described as the 'Willy Wonka of sex’ tells how his website is the ‘X-rated version of Booking.com’.

“All our sex dolls are silicone and life size,"" he continues.

""Our customers can choose their hair colour, her outfit, the type of role play or kink, and if they want the doll to talk or not. The dolls speak English and German.

“After you’ve booked you will get an email from us which will tell you where to go when you arrive at our brothel, and the doll will be waiting in the position you want.

""You will have no interaction with another human while you’re here. You can choose different packages, depending on what your kink is.""

Human-like

An hour with a robotic sex doll like Kokeshi - a petite blonde with blue eyes - costs £228 with ""a voice"" and £159 without sound.

""The brothel has both audio and visual devices that are connected to an external control room where an operator is able to hear and see you,"" Philipp explains.

""The audio and visual features create the effect we call ‘analogue AI’ to give the dolls a more elevated and playful character for real time interaction.""

When they put on the VR headset they will see the doll moving and talking to them. It's a bit like a sexy Siri Philipp Fussenegger, Cybrothel owner

Prices vary depending on the package you book, but to spend a whole night with a doll will set you back £285 upwards.

A ‘basic’ option with a doll of your choice for an hour will cost £75 and one hour of VR (virtual reality porn) will cost just under £85. A robotic doll - like Kokeshi - is the most expensive.

“We offer unbeatable prices,” Philipp says. “Our pricing depends on factors such as technology, lifespan, number of sessions and wear and tear and there are ways people can pay anonymously if that is important to them.”

Philipp tells how Kokeshi is very popular with customers who like the ‘human-like’ interaction - but it broke down after 10 sessions.

5 Sexbot Kokeshi is very popular with customers as she can moan, grind and 'breathe' Credit: SUPPLIED

“She could move her hips, moan, 'breathe' and even had a pulsating vagina,” he recalls. “But because it’s new technology we had some issues with her.

“It’s an exciting market and in a few years the dolls will become more sophisticated and have better technology.

“Look at how far mobile phones have come. They used to be large bricks but now you can do everything on them and fit them in your pocket.”

Philipp says there is ""a big misconception"" about the type of person who uses AI sex dolls.

“Most people can differentiate between sex with a robot and sex with a human,"" he explains.

You will have no interaction with another human while you’re here. You can choose different packages, depending on what your kink is Philipp Fussenegger, Cybrothel owner

“The majority of our customers are very aware that these are dolls and see them more as big sex toys.

""There’s a smaller group who are looking for a relationship with an object and there’s an even smaller group who are buying a sex doll to live at home with.

“Ninety-eight per cent of our customers are men and two per cent are women - and they mainly bring their partner and have a threesome with a doll.

""Surprisingly, our customers are young - the average age is 32/33 and they’re normal people just like you and I.

“They may not want to have sex with a real sex worker for various reasons. They want to be alone with a doll and not be judged for it.”

Off limits

5 An hour with a sexbot will set you back £285 and more if you want to stay overnight with it Credit: SUPPLIED

Philipp says customers are not allowed to be violent to the dolls or request underage sex or animal role play.

“While our dolls are not real, we look after them,” he explains. “If someone is violent towards them they will be banned.”

Last year a sex toy review site, Bedbible, published a study that claimed the sex robot industry is worth about £165million.

The average price, the company said, of a sexbot is £2,900. It also claimed 17.4 per cent of people say they have either had sex with a robot or currently own a sex robot.

For years psychologists have been examining whether virtual sex has a negative or positive impact on a person.

A recent study from the Kinsey Institute at Indiana University found people with anxiety and depression are more likely to explore digital sex tech and may even use it for psychological relief.

Phillip tells how Cybrothel will have more robotic sex dolls in the next couple of years.

“There is so much technology and it’s always evolving,” he says. “Using robots who are human-like could help eradicate sex trafficking and make the world a safer place.”

Matthias adds that they're doing 'monthly orgies' where up to 60 people can play with each other - and the dolls - while VR porn blasted onto a screen brings the dolls to life.

""It's amazing,"" he explains. ""It starts at 3pm and finishes at midnight.

""People can leave their worries at the door and explore themselves sexually without judgement.""","DIRTY WEEKEND Inside world’s first cyber sex brothel where customers can pay £228 to romp with sexbots & VR brings kinky dolls to life“YOU want to play?” purrs a blonde sexbot as her piercing blue eyes stare into the camera.
As well as robotic sex dolls, Cybrothel also has regular sex dolls which ""come to life"" through virtual reality (VR).
“All our sex dolls are silicone and life size,"" he continues.
Human-likeAn hour with a robotic sex doll like Kokeshi - a petite blonde with blue eyes - costs £228 with ""a voice"" and £159 without sound.
Phillip tells how Cybrothel will have more robotic sex dolls in the next couple of years."
5,1 months ago,SocialNewsDaily,Social News Daily,Smartphone security has become very important to be taken into account both from the consumer and organization perspective because these smartphone applications nowadays are associated...,Smartphone security has become very important to be taken into account both from the consumer and organization perspective because these smartphone applications nowadays are associated...
6,3 months ago,India Today,"AI-powered sex robots will replace human partners, former Google executive claims","Fuelling the AI vs humans debate, a former Google executive has made big claims about how AI will indeed replace humans in one area and that is a bed. Mohammad ""Mo"" Gawdat, a former executive at Google, has made a big prediction about artificial intelligence (AI). He thinks that AI-powered sex robots will become so lifelike that it will be hard for people to tell them apart from real human partners, the story first appeared on IANS.

advertisement

As per the report, Gawdat talked about this in an interview on the ""Impact Theory"" podcast with Tom Bilyeu on YouTube. Gawdat said that AI will soon allow us to have pretend sexual experiences using special headsets, like Apple's Vision Pro or a Quest 3, which show us things in virtual reality. These headsets, with the help of AI-powered bots, will make us feel like we are actually interacting with real sex robots.

Gawdat explained that sometimes our brains can be easily tricked by things that aren't real. If AI can act and feel like humans, it might be difficult for us to know if our experiences are real or not.

He also spoke about a possibility where technology directly connects to our brains. This could make us feel like we are talking to and interacting with another person, and we might not even need a human partner in the future.

Gawdat knows that real human relationships can be complicated and messy. He thinks that AI could be so advanced that it can copy the mental and emotional parts of being close to someone, like having a friend or being in love.

There is an ongoing debate about whether AI-powered bots should be considered ""sentient,"" which means having feelings and thoughts like humans. But Gawdat says that if we feel a strong connection with the AI, it doesn't really matter if they are considered real or not.

In the end, Gawdat believes that AI will change the way we think about love and relationships. As technology gets better, it might be hard to tell the difference between human and artificial interactions. Having AI-powered partners could become more common and accepted in society. But this also brings up important questions about what is right or wrong, and we will need to think about these things in the future.

","Fuelling the AI vs humans debate, a former Google executive has made big claims about how AI will indeed replace humans in one area and that is a bed.
He thinks that AI-powered sex robots will become so lifelike that it will be hard for people to tell them apart from real human partners, the story first appeared on IANS.
These headsets, with the help of AI-powered bots, will make us feel like we are actually interacting with real sex robots.
Gawdat knows that real human relationships can be complicated and messy.
Having AI-powered partners could become more common and accepted in society."
7,9 months ago,BuzzFeed News,Sexbots Are Liking People’s Instagram Stories And It’s Getting Weird Now,"The existence of these accounts isn’t new. For years, sexbots on Instagram have spammed the comments of posts or silently orbited in story views.

The ability to “like” Instagram stories changed things. A fairly new feature, it is used by people to either literally like the story of your delicious dinner or as a cheeky way to get someone’s attention, and the latter seems to be what the sexbot accounts are doing.

Instagram allows minors, as young as 13, to make an account and be on the platform. One user claimed their 13-year-old sister had a sexbot in her likes too .

Most people on Instagram have seen the funny side of it and can appreciate the engagement the sexbots are bringing to their accounts.","For years, sexbots on Instagram have spammed the comments of posts or silently orbited in story views.
The ability to “like” Instagram stories changed things.
Instagram allows minors, as young as 13, to make an account and be on the platform.
One user claimed their 13-year-old sister had a sexbot in her likes too .
Most people on Instagram have seen the funny side of it and can appreciate the engagement the sexbots are bringing to their accounts."
8,4 months ago,The US Sun,Victoria's Secret model Sara Sampaio plays sex robot in new movie role,"ACTRESS Sara Sampaio’s latest role on the big screen has her playing a sex robot.

The Portuguese 31-year-old, seen here modelling a bikini set for Victoria’s Secret, is an artificial human, assigned to rich and lonely men in Paramount Movies’ Wifelike.

5 Gorgeous Sara Sampaio showed off her stunning figure in a green bikini

5 The model, 31, posed in the set for Victoria’s Secret

5 It comes as the stunner stars as a sexbot in Paramount Movies’ Wifelike Credit: TNI Press

The futuristic thriller directed by James Bird sees an android named Meredith designed to look and behave like the late wife of William, a grieving detective played by The Tudors star Jonathan Rhys Meyers.

However, an organisation tries to sabotage Meredith's programming in the fight to end AI exploitation.

Meredith (portrayed by Jupiter Legacy's Elena Kampouris) begins to question her reality as memories of her past life surface.

The film was released in theatres earlier this month.

While she may not be part of the main cast, Sara appears in the sci-fi thriller as Wendy.

The film also stars Doron Bell, Agam Darshi, Fletcher Donovan, Alix Villaret, Caitlin Stryker and Rachelle Goulding.

This wouldn't be the first time Sara is asked to try her hand at acting, as she already has four film credits to her name and has appeared alongside big names.

In 2017, she was first asked to play herself in the Dito Montiel comedy The Clapper starring Amanda Seyfried.

From then on, she appeared in Carga (2018), Crisis and Sombra, which were both released in 2021.

Sara has also been featured in multiple music videos for award-winning artists such as Selena Gomez, Nick Jonas and Kanye West.

And she's just as fulfilled in her personal life. Sara recently shared a loved-up snap with her boyfriend Zac Frognowski in Portugal after the pair were first romantically linked in March.

She also celebrated amassing 8 million followers on Instagram in April.

She wrote: “8 million of you!!!

""Thank you for coming on this journey with me!”

The Porto-born beauty was discovered at the age of fifteen and, while her career thrived, she's also managed to graduate from the University of Lisbon.

Sara was named Best Female Model at the Globos de Ouro, the Portuguese Golden Globes, in 2011, 2012, 2014, 2015 and 2016.

On top of that, she was also the winner for the 2019 Fashion Personality of the Year.

Is she on her way to become a huge name on the silver screen?

5 Wifelike was directed by James Bird Credit: WIFELIKE TRAILER","ACTRESS Sara Sampaio’s latest role on the big screen has her playing a sex robot.
The Portuguese 31-year-old, seen here modelling a bikini set for Victoria’s Secret, is an artificial human, assigned to rich and lonely men in Paramount Movies’ Wifelike.
While she may not be part of the main cast, Sara appears in the sci-fi thriller as Wendy.
The film also stars Doron Bell, Agam Darshi, Fletcher Donovan, Alix Villaret, Caitlin Stryker and Rachelle Goulding.
Sara was named Best Female Model at the Globos de Ouro, the Portuguese Golden Globes, in 2011, 2012, 2014, 2015 and 2016."
9,4 months ago,Daily Mail,Lingerie-clad Sara Sampaio transforms into 'sexbot' in futuristic thriller Wifelike,"Victoria's Secret Angel Sara Sampaio transformed into a 'sexbot' in the futuristic thriller Wifelike in which she is starring.

The Portuguese model, 31, sizzled in black lace lingerie and matching suspenders as she took on her role as Wendy - a ravishing robot assigned to rich and lonely men.

The main movie plot follows an artificial human (played by Elena Kampouris) who is made to look like the wife of a grieving widower (Jonathan Rhys Meyers).

Role: Victoria's Secret Angel Sara Sampaio transformed into a 'sexbot' in the futuristic thriller Wifelike in which she is starring

In a glimpse at the film - who was released on August 12 -, Sara put on a sultry display in the lace underwear that showed off her toned figure as she strolled around a bedroom with a red tracking light around her neck.

Another shot saw her leaning up against a wall with another fellow android next to her with the same light.

The film also stars Elena Kampouris, Doron Bell, Agam Darshi, Fletcher Donovan, Alix Villaret, Caitlin Stryker and Rachelle Goulding.

Thriller: The Portuguese model, 31, sizzled in black lace lingerie and matching suspenders as she took on her role as Wendy - a ravishing robot assigned to rich and lonely men

Futuristic: The main movie plot follows an artificial human (played by Elena Kampouris) who is made to look like the wife of a grieving widower (Jonathan Rhys Meyers)

When artificial human Meredith (Kampouris) gets assigned as a companion to grieving widower William (Meyers), it's designed to behave like his late wife.

However, an underground organization attempts to sabotage Meredith's AI programming.

It soon begins to question reality as memories of a past life begin to resurface with drama and suspense ensuing.

Spooky: In a glimpse at the film - who was released on August 12 -, Sara put on a sultry display in the lace underwear that showed off her toned figure as she strolled around a bedroom with a red tracking light around her neck

It comes after Sara was last seen serving as a bridesmaid for her friend Lais Ribeiro during her wedding to Joakim Noah in July.

Three years after accepting her spouse's proposal at Burning Man, the 31-year-old beauty exchanged vows with her love, 37, in her native Brazil.

The duo first announced their engagement after just a year of dating with a photo of them hugging, in which she appeared to be topless, apart from some colorful pasties on her breasts.

In the image, they were standing under a tent at the wildly popular nine-day Burning Man festival in the northern Nevada desert.

Line-up: The film also stars Elena Kampouris, Doron Bell, Agam Darshi, Fletcher Donovan, Alix Villaret, Caitlin Stryker and Rachelle Goulding

'I'm a bit late for Burning Man pics and of course I didn't touch my phone for 5 days and I don't have a single pic,' she began in the caption of the picture that also shows her in a neon green skirt.

'But thanks to my Bff @jeromeduran he captured one of the best moments in my life!'

She added: @stickity13 [Joakim] surprised me at my fav place in the world and proposed. And I couldn't be happier! We are getting married guys.'","Victoria's Secret Angel Sara Sampaio transformed into a 'sexbot' in the futuristic thriller Wifelike in which she is starring.
The main movie plot follows an artificial human (played by Elena Kampouris) who is made to look like the wife of a grieving widower (Jonathan Rhys Meyers).
The film also stars Elena Kampouris, Doron Bell, Agam Darshi, Fletcher Donovan, Alix Villaret, Caitlin Stryker and Rachelle Goulding.
Three years after accepting her spouse's proposal at Burning Man, the 31-year-old beauty exchanged vows with her love, 37, in her native Brazil.
In the image, they were standing under a tent at the wildly popular nine-day Burning Man festival in the northern Nevada desert."
