ID,title,media,date,datetime,desc,link,img
0,10 Best Sex Bots For Hot Content & AI Sex Chats,Greenbot,1 month ago,2024-08-16 23:19:35.872994,,https://www.greenbot.com/sex-bots/&ved=2ahUKEwjsucj5j8mIAxUuM9AFHdcYEcoQxfQBegQIAxAC&usg=AOvVaw1wdSEHngAvdLAubZ4M1_nk,
1,Meet M3GAN’s Sexbot Cousin in Blumhouse’s Soulm8te,Gizmodo Australia,2 months ago,2024-07-16 23:19:35.879060,"The film is set to be helmed by Kate Dolan (You Are Not My Mother) who also re-worked a script by Rafael Jordan with a story by James Wan, Ingrid Bisu, and...",https://gizmodo.com.au/2024/06/meet-m3gans-sexbot-cousin-in-blumhouses-soulm8te/&ved=2ahUKEwjsucj5j8mIAxUuM9AFHdcYEcoQxfQBegQICRAC&usg=AOvVaw1UOm2lCwnOkzT0pli5jBfw,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
2,China’s next-gen sexbots powered by AI about to hit the shelves,South China Morning Post,2 months ago,2024-07-16 23:19:35.883434,"Chinese scientists and engineers are applying ChatGPT-like technology to sex robots, aiming to create interactive, AI-powered companions.",https://www.scmp.com/news/china/science/article/3266964/chinas-next-gen-sexbots-powered-ai-are-about-hit-shelves&ved=2ahUKEwjsucj5j8mIAxUuM9AFHdcYEcoQxfQBegQIBhAC&usg=AOvVaw3gWSYcuX57T0ht4_8xcs-J,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
3,Gabfest Reads: When a Sex Robot Catches Feelings | Political Gabfest,YouTube,3 months ago,2024-06-16 23:19:35.887582,"David Plotz talks with author Sierra Greer about her new book, Annie Bot. They discuss how much discomfort Annie (a “Cuddle Bunny” type of robot) can feel,...",https://www.youtube.com/watch%3Fv%3D2dyDGDhWGLo&ved=2ahUKEwjsucj5j8mIAxUuM9AFHdcYEcoQxfQBegQIBRAC&usg=AOvVaw06NWJprKqSLamrMubbFRqF,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
4,Dunedin rest home manager censured for 'sex robot' comments,Otago Daily Times,3 months ago,2024-06-16 23:19:35.891695,"Dunedin rest home manager censured for 'sex robot' comments ... ""I'm not being creepy or a paedo,"" Michael Sobrevilla insisted to a student nurse he later asked...",https://www.odt.co.nz/news/dunedin/dunedin-rest-home-manager-censured-sex-robot-comments&ved=2ahUKEwjsucj5j8mIAxUuM9AFHdcYEcoQxfQBegQIBxAC&usg=AOvVaw0djdMlhjarRKq-EkMTAwzZ,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
5,"I, For One, Welcome Our New Sexbot Overlords",Above the Law,3 months ago,2024-06-16 23:19:35.895834,,https://abovethelaw.com/2024/05/i-for-one-welcome-our-new-sexbot-overlords/&ved=2ahUKEwjsucj5j8mIAxUuM9AFHdcYEcoQxfQBegQIABAC&usg=AOvVaw1FPbGHL9zTLrzkAQiP1NZl,
6,What happens if a sexbot is your first intimate encounter? Nothing good,The Sydney Morning Herald,4 months ago,2024-05-16 23:19:35.900006,"Artificial intelligence, particularly its intersection with pornography, could have a huge impact on gender relations offline.",https://www.smh.com.au/technology/what-happens-if-a-sexbot-is-your-first-intimate-encounter-nothing-good-20240510-p5jcle.html&ved=2ahUKEwjsucj5j8mIAxUuM9AFHdcYEcoQxfQBegQIBBAC&usg=AOvVaw0WGB0lNhTZ97tTzEM7YR3Z,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
7,"Mocking, Biting Satire About Trump and an AI Sex Bot Publishes; Hilarity Ensues",GlobeNewswire,5 months ago,2024-04-16 23:19:35.904102,"When emotionless sex robot Petra rivals “Donny Trump” at his own game of lies, deception, murder, and power, you know it's going to be a laugh-out-loud read.",https://www.globenewswire.com/news-release/2024/04/09/2860192/0/en/Mocking-Biting-Satire-About-Trump-and-an-AI-Sex-Bot-Publishes-Hilarity-Ensues.html&ved=2ahUKEwjsucj5j8mIAxUuM9AFHdcYEcoQxfQBegQIARAC&usg=AOvVaw3w8LQ32ROndILRN55_o09P,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
8,"She’s an A.I. Sex Robot, and She’s Becoming Sentient",The New York Times,6 months ago,2024-03-16 23:19:35.908171,"Sierra Greer's debut novel, “Annie Bot,” explores questions of misogyny and toxic masculinity by following a pleasure robot that begins to develop her own...",https://www.nytimes.com/2024/03/15/books/review/annie-bot-sierra-greer.html&ved=2ahUKEwjsucj5j8mIAxUuM9AFHdcYEcoQxfQBegQIAhAC&usg=AOvVaw3NLu26Q79anKUaCtFw7nYu,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
9,Annie Bot review: A sharp take on a sex robot that becomes human,New Scientist,6 months ago,2024-03-16 23:19:35.912261,"In a smart, compassionate novel, Sierra Greer spins the tired trope of a robot challenging its fate into sci-fi gold.",https://www.newscientist.com/article/mg26134821-600-annie-bot-review-a-sharp-take-on-a-sex-robot-that-becomes-human/&ved=2ahUKEwjsucj5j8mIAxUuM9AFHdcYEcoQxfQBegQICBAC&usg=AOvVaw1pKVdxcM121g0wkjwG8ZMA,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
