,title,desc,date,datetime,link,img,media,site,reporter
0,The damage to Samantha the sex robot shows male aggression being normalised,,"Sep 28, 2017",,https://news.google.com/read/CBMirwFBVV95cUxQMU51Rmx3WHpzcHZRLXczdEduMGk5NmhZZEd3ak5xRmNaM2lGMEVnZFZKUnB0bW1OMGtZajZ3NjJtYy1CRW5yamhCQzV6cXg0UzJJekVNVmdRSHVKRVJrZnl0a0xJek5uYV9WRnc1R3NuVUdwMm5ubGFXREFiZnNtemZJdnpWSjNsWEVBbmhfVm1TSm9sT2lvbm1VZ2hPem13UUFNZjdoY0U5QjR5Q004?hl=en-US&gl=US&ceid=US%3Aen,https://news.google.com/api/attachments/CC8iL0NnNWZjWFF5U2s5SU5YaHhjWFV6VFJDVEFoaTNBU2dCTWdrQlFJek5NS2JRU2dJ=-w200-h112-p-df,The New Statesman,,By Sian Norris
1,How a sex robot ended up on The One Show sofa,,"May 14, 2017",,https://news.google.com/read/CBMioAFBVV95cUxQaWVRUVlsYXNhYnBhWWlfUEZqeGwzVEhWTkoxT040SHhfTjhJQW85enB1WGVmaGdsOVJXdjlPMThLT0hsekNnYjI4M213NTBONW9GcUp6dXhreUh6RWVVTU9Sd1JFdnlHM0VBdVFUOXZMVXZieUMyRU90dFc3S0dLSHN2ZnBNUTFTcExGVXRMMG1Ld2xwQ3c4Yy1nMS1UOVRS0gGgAUFVX3lxTFBIdjRkRW5LYWJaY2phMnRyMEZLak9mSGE5czNiQVN6VnJPZ2dlS2tnT0lkOEdKMEdzZGlpUTdOYlIwTWtTLTNkYms5cUw1OGd6Mm0zckx1Mng0Wnl6a1FVX3IyZTV4TGlhSkRwYmpYNjM1ejFOdktyaFNVcTZJQ1lNMWQzNDJlZGRRZEUtXy1mRWJTNGJIVW5pTU4yMjMxaTc?hl=en-US&gl=US&ceid=US%3Aen,https://news.google.com/api/attachments/CC8iI0NnNUthVTQyVG1sdmNsTkJXVjlQVFJDdUFSaWlBaWdCTWdB=-w200-h112-p-df,The Guardian,,By Stewart Lee
2,PODCAST: Why feminists care about sex robots,,"May 19, 2017",,https://news.google.com/read/CBMigwFBVV95cUxQb2t2b2gwaFhncVVXMERoYUl0MEtRRUNqdGlzMF9CYkN2ZzlvUlBWTThxNUZiTVo0WVRzMURRZWw0Q2JVTmVvMjlOQ3JUcFU5WWhna0Q1VzFETGNRSzM5azZ3ci1BZ0FGNzhZaFJzekFJaE1DMDJubVFTRVk1OVpNd01rTQ?hl=en-US&gl=US&ceid=US%3Aen,https://news.google.com/api/attachments/CC8iK0NnNUJhREV0ZDE4M1dHcGhhMDl2VFJEQ0FSaURBaWdCTWdhVkZwUUtIZ2s=-w200-h112-p-df,Feminist Current,,By Meghan Murphy
3,Opinion | The Trouble With Sex Robots (Published 2017),,"Jul 17, 2017",,https://news.google.com/read/CBMidEFVX3lxTE5qVFpiQjI0b2NZYkkzRm4ybENNa1ZqSE4zYVM3UFNMRVE2N0NKMkxERmhtYnZMYXBVR09KaFc3WFpYbmtQNWdvajY0WHI5SzhjeWhFd1pFZF9nZ0JDSXRqZmRQbWQ3d3AtcjFtNnI0ajdFczB1?hl=en-US&gl=US&ceid=US%3Aen,,The New York Times,,By Laura Bates
4,What Sex Robot Should You Order?,,"Aug 18, 2017",,https://news.google.com/read/CBMibkFVX3lxTE5HQTVwbkEzXzh5d2VTOTFwMklaaW52c1N0WXFVUjVCTmp1Y1ViWUcyZG8xNHR0WkVWX3Bkc05fcGhwUGV6cW1CZ2lNYjRnYzktbkxYZUNJVUc1cGRyNGpNbWdMY3h5Uk0zOEQ0WFVB?hl=en-US&gl=US&ceid=US%3Aen,https://news.google.com/api/attachments/CC8iK0NnNXRkV3hTV1V4T09IZ3hVeTF2VFJDb0FSaXJBaWdCTWdhRmRZZ0xyZ1E=-w200-h112-p-df,The Daily Beast,,By Lizzie Crocker
5,"Goodbye Loneliness, Hello Sexbots! How Can Robots Transform Human Sex?",,"Jul 18, 2017",,https://news.google.com/read/CBMiuwFBVV95cUxQWE0wR0hvWmFfSzZVcVVYekdWSzhMY2hLWnlRYXRLcVlmS0FGWjNnYV9RX293WFFsTl9PRzYza0pmOWlxR211MjQzZzNUcllrVEYxc1hvQ2gzM2o2djJDT2Q1aGVKNF8wRjhDVHlJTm9BM3J6d3RSd0lScmhHVU93Sm1nak83WURUT0drQzYyR0FYNVA1bmdaRzYxZHpKRlR1blVtb2tMZWJkSTUwazNmYng3cXNxN3NIamlr?hl=en-US&gl=US&ceid=US%3Aen,https://news.google.com/api/attachments/CC8iK0NnNWlXV3cxWjFCcE5XTkhUMlF3VFJEQ0FSaURBaWdCTWdhaGhZUUx0Z1E=-w200-h112-p-df,Forbes,,By Reenita Das
6,Why We Should Worry About the Sex Robot with a ‘Resist’ Function,,"Sep 6, 2017",,https://news.google.com/read/CBMimwFBVV95cUxQRXV3TUZXN0dRa2xpdGRVSzYteDV1TEwyRlZTcXBjdEEwQldMQndhSFRydld1dUNtd0MwR1c1WEo3UHpvODVRbFdDLU9xd2JMQkRWU29sQURTZDM2UUtaM3lfTERKckV6VElkSG1lNE83bzJOSndEYy00SzNVM0lCSkFENjFhN2NWX0VJTzUwU29UNHJmUHdaNW03QQ?hl=en-US&gl=US&ceid=US%3Aen,https://news.google.com/api/attachments/CC8iK0NnNXRjMjFsUXpabWJXTk9XRk00VFJDa0FSaTBBaWdCTWdZQklJZ0N6UU0=-w200-h112-p-df,VICE,,
7,Your future sex robot could be hacked and programmed to murder you,,"Sep 11, 2017",,https://news.google.com/read/CBMiaEFVX3lxTE1xNnRrQUxEZmNsZDM5MkZCOVpZM281TFV3dlR1Qm5LUi0tS1hOS0JhNW1XV2RPaFVoYmNJMlFCZWw5d25OblpLZFVRUnR6b1pfS3BfZXBiU0d4RE1DMVFNVEtIUlRPNXJW?hl=en-US&gl=US&ceid=US%3Aen,https://news.google.com/api/attachments/CC8iK0NnNVNPRWxuU201WlYzTkRiV2N5VFJDb0FSaXJBaWdCTWdZSkNhTEdpZ3M=-w200-h112-p-df,BGR,,By Mike Wehner
8,Tech bros molested and broke a sex robot at a festival,,"Oct 1, 2017",,https://news.google.com/read/CBMisgFBVV95cUxNaVdVZjB1bGxjZ3dvY0VQZzQ4Z29ESklxQm5SRHMya1NLUmpBNnJBbC1NcGRQVVBwek1oQi1Ka3dFQUtCbHpQWUJPTW1mU2dLRHhEdFl2LVlVd2xMMEtDem05d19RT3B0al9uek9pdnZEWkEzN1FObnA5MU51RGg3b3h1X29rMTJ4N0dwSzVJenR4bTdBRHo4R2VrcDZtaC1UbHlQQng1WFd0S3I5SUhRbEN3?hl=en-US&gl=US&ceid=US%3Aen,https://news.google.com/api/attachments/CC8iK0NnNU1aSEpGVFhWck5tMDJhV0ZsVFJESkFSajZBU2dCTWdhdEJJeVFBUXc=-w200-h112-p-df,Dazed,,By Charlie Brinkhurst-Cuff
9,World’s first talking sex robot is ready for her close-up,,"Sep 13, 2017",,https://news.google.com/read/CBMiqAFBVV95cUxQRDVtWFpJMEtrZFFmTmhCRW9YUVlxT0x2clBvN1J4SU8wVHZWSE84Z2w4dEJNQVF0QnRIcGlXYnhfM1ptLVRTMVFKM25rRThaeU9PbDdjamlXSHdCX2ZoNHFmLXAwdHloYzhzSGpxQ3ZVdVpXMkZBTDlGWWx0bnI4dzZnWW1GenZvUng5RDNiby0xQmJGMGpKempDTjBLclJrb3B1Q05kLXM?hl=en-US&gl=US&ceid=US%3Aen,https://news.google.com/api/attachments/CC8iK0NnNTFWM05oZUUxWU5qTnNhVFZFVFJDM0FSaVRBaWdCTWdheFVZZ3lwUVk=-w200-h112-p-df,The San Diego Union-Tribune,,By Pam Kragen
