title,date,year,link,media,reporter
"It’s 2023, where are the sex robots? ‘They will probably never be as huge as everyone thinks’","Jan 13, 2023",2023,https://www.theguardian.com/lifeandstyle/2023/jan/14/its-2023-where-are-the-sex-robots-they-will-probably-never-be-as-huge-as-everyone-thinks,The Guardian,By Tory Shepherd
Rachel Ingalls Considers a Fix for Marital Ennui: Sex Robots (Published 2023),"Jul 8, 2023",2023,https://www.nytimes.com/2023/07/08/books/review/rachel-ingalls-in-the-act.html,The New York Times,By Audrey Wollen
Do AI Sex Robots Require Consent Too?,"Jun 30, 2023",2023,https://news.google.com/read/CBMiZkFVX3lxTE9LRjZJNEdLa0o1R2ZqT0Y0bmhNQjdWQS1KU3k2djVZRlkxa1JLM3ZpTC1LQnJ0WWgyUHQ3OVVwSGpqclZDdG9lRzBfMnE2NTlWekFJNHRfWnYtdVp4SV90N0ZhRDEtUdIBbkFVX3lxTFBxQ3lqTDdWeW1TdjdlN3lyeC0xT2tSbkNnNEZPWnJPSHExUlpHZHZkRm5mYWtNNXpMQ0VCMlpOVzloanQzcXB1eDR2QmYtamJMT01kb3RDZlNtQzZCbVRyVVA5N0lGei1GQm1OSWN3?hl=en-US&gl=US&ceid=US%3Aen,Decrypt,By Ryan S. Gladwin
Interview with a Sex Robot,"Mar 30, 2023",2023,https://news.google.com/read/CBMif0FVX3lxTE43YnNpMFNxSVNmLTEweGEwdG5JM24zanExYlktT2R1UlNSNWdJSnpMYzQ5SU1ydzlrdGQ1bjFCTlBSQXVEWDFoWkxpUVU4RmkwSjJuSjdGWDhZUUVpc0phRnVXTldVbTcyS1hZbUl0aWoybUNXVUlCMGczRFlkR0k?hl=en-US&gl=US&ceid=US%3Aen,Catholic World Report,By Nick Bottom
Ex-Google exec says AI-powered sex robots will seem ‘alive’ and eliminate need for ‘another being’,"Jul 18, 2023",2023,https://news.google.com/read/CBMitwFBVV95cUxQVURWdnp3V21wX1dkUERsU2d2NlNrc2Njc0lxTzN4TlBiblZ4WjdKcXJVdE1Bc2NNazN1QUFvQkwyZmhtakMyaThqSnlqYWl5ejNDdFh4X0Q1TDFMSE1pWnBEV2hRRGh3UFpZQmREbTQ3WXNOTEd2REFRY0sydDZyNUFacjE0Z2c5RGVGci1IUXlMLWtGZmJVelRJWlRCZnlBaUVrMm4taHBNeWdUeGdqUkMxdmJfd3c?hl=en-US&gl=US&ceid=US%3Aen,New York Post,
Courtney Pauroso’s one-woman sex robot clown show is a live comedy trust fall,"Aug 8, 2023",2023,https://news.google.com/read/CBMiogFBVV95cUxNaDJmY0lNUEg5dDlJajFYWFl3YlBwLTlnczRoNm1kRVNMWDFUZ05kbWdIeUVQQnJSd2NqVDhmN0JSRnRTSVFWVFc2cDVFdGZyZ2FBcHUzV2syYmFrY0VBZHh5Y2QtQlYyLXRsTEFwYnVQWEVkbmFjZWtRLTYxdDFIbUlLVl9RT2s0R1FZTlBYYWFidW9XOWxGNXZxenI2X2kyclE?hl=en-US&gl=US&ceid=US%3Aen,Los Angeles Times,
"Morgue worker ‘altered’ sex doll as he returned to dead person’s home, Nebraska cops say","Oct 20, 2023",2023,https://news.google.com/read/CBMigAFBVV95cUxQYW1mcmZBWnJoT3JyODlRWEV4T3JvYUNMZU5lREhBUFdXOFVSMXo3ejdVWUFYYzRTRGgxM0V6RlR3R0stT2VwaDV5eUdqME5BSHJaempQTkpwUkVlM21lVmxSejFxdFl4ODJUMGE5R2VFMElaVHNsN29VNnp1bE5lU9IBgAFBVV95cUxPX0FwMGYtbURYQWFCTFA0NWVzSEVDZmMtZFBuSmQwMmRwQ0J2enlPeld1WllvYnY0T3hfNU9ad1JvWThTaG84ZDg4c2kwV0dJb04yY0JySlpBZjVVUzVsV1czbDcyeHozQjFCd091YkZwUXV3ZGItbGt2RU5zYmZFTg?hl=en-US&gl=US&ceid=US%3Aen,Kansas City Star,By Mike Stunson
Meet The Defiant AI Sex Robot Starring In A New Action Thriller Comic,"Oct 22, 2023",2023,https://news.google.com/read/CBMivgFBVV95cUxPaGZocUNnWU1EVU9lQ0Q3QUVJaEJDQ0ZicmQ2Vy1TWjJQUHpIMFZjeU5tQ2FkcG8taHAzQmU0M0wyOVhaUC1OSlBGUEFjQ2VFcG5fbUxuS05keEwzbEg2NTBXYU9RcU9ldG0tVTBzeklWZ2FGQTRENDFKc05ZNnFuN3lfOWV5WlFjYW5BT0QwdVBGSTVNMURmTGQwME9tdzZFdjF3MjU2Q3JwRjNaNTN0dlZkOGVZNEZUZGsyTUFn?hl=en-US&gl=US&ceid=US%3Aen,Forbes,By Leslie Katz
Inside world’s first cyber sex brothel where customers can pay £228 to romp with sexbots & VR brings kinky...,"Oct 22, 2023",2023,https://news.google.com/read/CBMifkFVX3lxTFBTc1NyRmx6LXE3aV9nMDVVR2IzOVlUcUNsMWRkaU9Gd2wxV3F5ZVhzdDVSZ1hJRTBsRHIwd0piQzFqdUNfdGhzbHJZdkVkcGRPS0ctbjktLTBhYUZnRXBaOGxMbzRNZkFYQXlJWkVqaGlucDh6ZDN2WTA4eHk0QdIBgwFBVV95cUxNNGFCbWVzZks0VldBUm5lclNMY01zQVh3SFRBV2FzbFNxeWpIelFNY3JGaWZqNkowOGEzbFhUQ2VyVy1IRktyOVJSSXVZem9hTTNDYlZZTjZnREVKanY3ZlotUExGODdfdEIyNUJFLVlxY2lyd1l6RnR1bXpEX3R0bGk0aw?hl=en-US&gl=US&ceid=US%3Aen,The US Sun,By Georgie Culley
New research shows sexual arousal leads to a greater willingness to get intimate with robots,"Apr 19, 2023",2023,https://news.google.com/read/CBMiuAFBVV95cUxPY1kweDJtNndEOGZjSFEtWXlmNXhPOXpMcWNHaGpueUVwU2FERHNmd05uYnB5b052NkNLaVFGSWl0Z1pLSmpfaXJ4NnRtbC1fNHhsTzhaZmhHYUFOSEVWTkY4MlVkTmZDcTdGMU9jMExjUVY4UFBrel9ERkpaQzVpSXhHcWxRMmR4MzM0dEtNcEoyZnpHS1BsWWRBNDBaamRucW9aZkFISmVtUWduRUp2aU90ajY4THY1?hl=en-US&gl=US&ceid=US%3Aen,PsyPost,By Emily Manis
